TotalSteps,TotalDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,SleepEfficiency
7604.0,4.71000003814697,0.0,0.0,4.71000003814697,0.0,0.0,352.0,492.0,1692.0,1.0,490.0,510.0,96.07843137254902
4729.0,2.9300000667572,0.0,0.0,2.9300000667572,0.0,0.0,233.0,594.0,1506.0,1.0,573.0,607.0,94.3986820428336
3609.0,2.27999997138977,0.0,0.0,2.27999997138977,0.0,0.0,191.0,716.0,1447.0,1.0,527.0,546.0,96.52014652014653
7018.0,4.34999990463257,0.0,0.0,4.34999990463257,0.0,0.0,355.0,716.0,1690.0,1.0,511.0,543.0,94.10681399631676
6564.0,4.07000017166138,0.0,0.0,4.07000017166138,0.0,0.0,345.0,530.0,1658.0,1.0,538.0,560.0,96.07142857142857
12167.0,7.53999996185303,0.0,0.0,7.53999996185303,0.0,0.0,475.0,479.0,1926.0,1.0,468.0,485.0,96.49484536082474
8198.0,5.07999992370605,0.0,0.0,5.07999992370605,0.0,0.0,383.0,511.0,1736.0,1.0,524.0,548.0,95.62043795620438
4193.0,2.59999990463257,0.0,0.0,2.59999990463257,0.0,0.0,229.0,665.0,1491.0,1.0,511.0,521.0,98.0806142034549
5528.0,3.45000004768372,0.0,0.0,3.45000004768372,0.0,0.0,258.0,610.0,1555.0,1.0,541.0,568.0,95.24647887323944
10685.0,6.61999988555908,0.0,0.0,6.59999990463257,0.0,0.0,401.0,543.0,1869.0,1.0,531.0,556.0,95.50359712230215
254.0,0.159999996423721,0.0,0.0,0.159999996423721,0.0,0.0,17.0,1002.0,1141.0,1.0,357.0,380.0,93.94736842105263
8580.0,5.32000017166138,0.0,0.0,5.32000017166138,0.0,0.0,330.0,569.0,1698.0,1.0,523.0,553.0,94.57504520795659
8891.0,5.51000022888184,0.0,0.0,5.51000022888184,0.0,0.0,343.0,330.0,1364.0,1.0,456.0,485.0,94.02061855670102
5079.0,3.42000007629395,0.0,0.0,3.42000007629395,0.0,0.0,242.0,1129.0,1804.0,1.0,61.0,69.0,88.40579710144928
10352.0,7.01000022888184,1.6599999666214,1.94000005722046,3.41000008583069,19.0,32.0,195.0,676.0,2038.0,1.0,467.0,531.0,87.94726930320151
10129.0,6.69999980926514,0.0199999995529652,2.74000000953674,3.94000005722046,1.0,48.0,206.0,705.0,2010.0,1.0,445.0,489.0,91.00204498977506
10465.0,6.92000007629395,0.0700000002980232,1.41999995708466,5.42999982833862,1.0,24.0,284.0,720.0,2133.0,1.0,452.0,504.0,89.68253968253968
5472.0,3.61999988555908,0.0799999982118607,0.280000001192093,3.25999999046326,1.0,7.0,249.0,508.0,1882.0,1.0,556.0,602.0,92.35880398671097
8247.0,5.44999980926514,0.790000021457672,0.860000014305115,3.78999996185303,11.0,16.0,206.0,678.0,1944.0,1.0,500.0,557.0,89.76660682226212
6711.0,4.44000005722046,0.0,0.0,4.44000005722046,0.0,7.0,382.0,648.0,2346.0,1.0,465.0,514.0,90.46692607003891
10080.0,6.75,1.85000002384186,1.52999997138977,3.38000011444092,23.0,26.0,208.0,761.0,2048.0,1.0,460.0,484.0,95.0413223140496
7804.0,5.15999984741211,0.560000002384186,1.67999994754791,2.92000007629395,9.0,27.0,206.0,781.0,1946.0,1.0,405.0,461.0,87.85249457700651
16901.0,11.3699998855591,2.77999997138977,1.45000004768372,7.15000009536743,32.0,35.0,360.0,591.0,2629.0,1.0,374.0,386.0,96.89119170984456
9471.0,6.26000022888184,0.0,0.0,6.26000022888184,0.0,0.0,360.0,584.0,2187.0,1.0,442.0,459.0,96.29629629629629
9482.0,6.38000011444092,1.26999998092651,0.519999980926514,4.59999990463257,15.0,11.0,277.0,653.0,2095.0,1.0,433.0,471.0,91.93205944798302
5980.0,3.95000004768372,0.0,0.0,3.95000004768372,0.0,0.0,227.0,732.0,1861.0,1.0,436.0,490.0,88.9795918367347
11423.0,7.57999992370605,1.86000001430511,0.400000005960464,5.32000017166138,26.0,9.0,295.0,623.0,2194.0,1.0,448.0,499.0,89.77955911823648
5439.0,3.59999990463257,0.0,0.0,3.59999990463257,0.0,0.0,229.0,764.0,1854.0,1.0,408.0,450.0,90.66666666666666
42.0,0.0299999993294477,0.0,0.0,0.0299999993294477,0.0,0.0,4.0,2.0,403.0,1.0,411.0,473.0,86.89217758985201
8856.0,5.98000001907349,3.05999994277954,0.910000026226044,2.00999999046326,44.0,19.0,131.0,777.0,1450.0,1.0,274.0,469.0,58.42217484008528
10035.0,6.71000003814697,2.02999997138977,2.13000011444092,2.54999995231628,31.0,46.0,153.0,754.0,1495.0,2.0,295.0,456.0,64.69298245614034
7641.0,5.1100001335144,0.319999992847443,0.970000028610229,3.8199999332428,5.0,23.0,214.0,801.0,1433.0,1.0,291.0,397.0,73.29974811083123
9010.0,6.05999994277954,1.04999995231628,1.75,3.25999999046326,15.0,42.0,183.0,644.0,1468.0,1.0,424.0,556.0,76.2589928057554
13459.0,9.0,2.02999997138977,4.0,2.97000002861023,31.0,83.0,153.0,663.0,1625.0,1.0,283.0,510.0,55.490196078431374
10415.0,6.96999979019165,0.699999988079071,2.34999990463257,3.92000007629395,11.0,58.0,205.0,600.0,1529.0,1.0,381.0,566.0,67.31448763250883
11663.0,7.80000019073486,0.25,3.73000001907349,3.8199999332428,4.0,95.0,214.0,605.0,1584.0,2.0,412.0,522.0,78.9272030651341
12414.0,8.77999973297119,2.24000000953674,2.45000004768372,3.96000003814697,19.0,67.0,221.0,738.0,1638.0,1.0,219.0,395.0,55.44303797468354
11658.0,7.82999992370605,0.200000002980232,4.34999990463257,3.27999997138977,2.0,98.0,164.0,845.0,1554.0,2.0,152.0,305.0,49.8360655737705
6093.0,4.07999992370605,0.0,0.0,4.05999994277954,0.0,0.0,242.0,712.0,1397.0,1.0,332.0,512.0,64.84375
8911.0,5.96000003814697,2.32999992370605,0.579999983310699,3.05999994277954,33.0,12.0,188.0,731.0,1481.0,1.0,355.0,476.0,74.57983193277312
12058.0,8.06999969482422,0.0,4.21999979019165,3.84999990463257,0.0,92.0,252.0,724.0,1638.0,1.0,235.0,372.0,63.17204301075269
14112.0,10.0,3.26999998092651,4.55999994277954,2.17000007629395,30.0,95.0,129.0,660.0,1655.0,1.0,310.0,526.0,58.935361216730044
11177.0,8.47999954223633,5.61999988555908,0.430000007152557,2.41000008583069,50.0,9.0,133.0,781.0,1570.0,1.0,262.0,467.0,56.102783725910065
11388.0,7.61999988555908,0.449999988079071,4.21999979019165,2.95000004768372,7.0,95.0,170.0,797.0,1551.0,1.0,250.0,371.0,67.38544474393531
7193.0,5.03999996185303,0.0,0.419999986886978,4.61999988555908,0.0,10.0,176.0,714.0,1377.0,1.0,349.0,540.0,64.62962962962962
7114.0,4.88000011444092,1.37000000476837,0.28999999165535,3.22000002861023,15.0,8.0,190.0,804.0,1407.0,1.0,261.0,423.0,61.702127659574465
10645.0,7.75,3.74000000953674,1.29999995231628,2.71000003814697,36.0,32.0,150.0,744.0,1545.0,1.0,333.0,478.0,69.6652719665272
13238.0,9.19999980926514,3.69000005722046,2.09999990463257,3.41000008583069,43.0,52.0,194.0,687.0,1650.0,1.0,237.0,382.0,62.04188481675392
10414.0,7.07000017166138,2.67000007629395,1.98000001907349,2.41000008583069,41.0,40.0,124.0,691.0,1501.0,1.0,383.0,626.0,61.18210862619809
16520.0,11.0500001907349,1.53999996185303,6.48000001907349,3.01999998092651,24.0,143.0,176.0,713.0,1760.0,1.0,230.0,384.0,59.895833333333336
14335.0,9.59000015258789,3.3199999332428,1.74000000953674,4.53000020980835,47.0,41.0,258.0,594.0,1710.0,1.0,292.0,500.0,58.4
13559.0,9.4399995803833,1.80999994277954,4.57999992370605,2.89000010490417,14.0,96.0,142.0,852.0,1628.0,1.0,213.0,336.0,63.39285714285714
12312.0,8.57999992370605,1.75999999046326,4.1100001335144,2.71000003814697,14.0,88.0,178.0,680.0,1618.0,1.0,318.0,480.0,66.25
11677.0,8.27999973297119,3.10999989509583,2.50999999046326,2.67000007629395,29.0,55.0,168.0,676.0,1590.0,1.0,323.0,512.0,63.0859375
11550.0,7.73000001907349,0.0,4.13000011444092,3.58999991416931,0.0,86.0,208.0,703.0,1574.0,1.0,237.0,443.0,53.49887133182845
13585.0,9.09000015258789,0.680000007152557,5.23999977111816,3.17000007629395,9.0,116.0,171.0,688.0,1633.0,2.0,259.0,456.0,56.79824561403509
13072.0,8.77999973297119,0.0700000002980232,5.40000009536743,3.30999994277954,1.0,115.0,196.0,676.0,1630.0,1.0,312.0,452.0,69.02654867256636
8539.0,6.11999988555908,0.150000005960464,0.239999994635582,5.67999982833862,4.0,15.0,331.0,712.0,3654.0,1.0,501.0,541.0,92.60628465804066
1982.0,1.41999995708466,0.449999988079071,0.370000004768372,0.589999973773956,65.0,21.0,55.0,1222.0,3051.0,1.0,77.0,77.0,100.0
4496.0,3.22000002861023,0.0,0.0,3.15000009536743,0.0,0.0,174.0,950.0,2828.0,1.0,322.0,332.0,96.98795180722891
10252.0,7.34999990463257,0.670000016689301,1.03999996185303,5.57999992370605,13.0,46.0,346.0,531.0,3879.0,1.0,478.0,536.0,89.17910447761194
11728.0,8.43000030517578,2.61999988555908,1.67999994754791,4.03999996185303,38.0,42.0,196.0,916.0,3429.0,1.0,226.0,248.0,91.12903225806451
4369.0,3.13000011444092,0.0,0.0,3.09999990463257,0.0,0.0,177.0,855.0,2704.0,1.0,385.0,408.0,94.36274509803921
5862.0,4.19999980926514,0.0,0.0,4.15000009536743,0.0,0.0,263.0,775.0,3089.0,1.0,364.0,402.0,90.54726368159204
5546.0,3.98000001907349,0.0,0.0,3.86999988555908,0.0,0.0,206.0,774.0,2926.0,1.0,442.0,494.0,89.47368421052632
10210.0,6.88000011444092,0.109999999403954,0.330000013113022,6.44000005722046,1.0,9.0,339.0,589.0,2302.0,1.0,535.0,557.0,96.05026929982047
5664.0,3.79999995231628,0.0,0.0,3.79999995231628,0.0,0.0,228.0,752.0,1985.0,1.0,465.0,491.0,94.70468431771894
4744.0,3.1800000667572,0.0,0.0,3.1800000667572,0.0,0.0,194.0,724.0,1884.0,1.0,506.0,522.0,96.93486590038314
2276.0,1.54999995231628,0.0700000002980232,0.330000013113022,1.12000000476837,1.0,9.0,58.0,824.0,1632.0,1.0,515.0,551.0,93.46642468239564
8925.0,5.98999977111816,0.0,0.0,5.98999977111816,0.0,0.0,311.0,604.0,2200.0,2.0,461.0,498.0,92.570281124498
8954.0,6.01000022888184,0.0,0.680000007152557,5.30999994277954,0.0,18.0,306.0,671.0,2220.0,1.0,523.0,543.0,96.31675874769797
3702.0,2.48000001907349,0.0,0.0,0.349999994039536,0.0,0.0,34.0,1265.0,1792.0,1.0,59.0,65.0,90.76923076923077
4500.0,3.01999998092651,0.0599999986588955,0.810000002384186,2.15000009536743,1.0,19.0,176.0,709.0,1886.0,1.0,533.0,550.0,96.9090909090909
4935.0,3.30999994277954,0.0,0.0,3.30999994277954,0.0,0.0,233.0,546.0,1945.0,1.0,692.0,722.0,95.84487534626038
4081.0,2.74000000953674,0.0599999986588955,0.200000002980232,2.47000002861023,1.0,5.0,191.0,692.0,1880.0,1.0,467.0,501.0,93.21357285429141
9259.0,6.21000003814697,0.0,0.280000001192093,5.92999982833862,0.0,8.0,390.0,544.0,2314.0,1.0,488.0,506.0,96.44268774703558
9899.0,6.6399998664856,0.569999992847443,0.920000016689301,5.15000009536743,8.0,21.0,288.0,649.0,2236.0,1.0,505.0,516.0,97.86821705426357
10780.0,7.23000001907349,0.409999996423721,1.91999995708466,4.90999984741211,6.0,47.0,300.0,680.0,2324.0,1.0,286.0,307.0,93.15960912052117
10817.0,7.28000020980835,1.00999999046326,0.330000013113022,5.94000005722046,13.0,8.0,359.0,552.0,2367.0,1.0,497.0,522.0,95.21072796934867
7990.0,5.3600001335144,0.449999988079071,0.790000021457672,4.11999988555908,6.0,18.0,289.0,624.0,2175.0,1.0,523.0,546.0,95.7875457875458
8221.0,5.51999998092651,0.400000005960464,1.61000001430511,3.50999999046326,6.0,38.0,196.0,695.0,2092.0,1.0,490.0,516.0,94.96124031007753
1251.0,0.839999973773956,0.0,0.0,0.839999973773956,0.0,0.0,67.0,836.0,1593.0,1.0,484.0,500.0,96.8
9261.0,6.23999977111816,0.0,0.439999997615814,5.71000003814697,0.0,11.0,344.0,585.0,2270.0,1.0,478.0,506.0,94.46640316205533
9648.0,6.46999979019165,0.579999983310699,1.07000005245209,4.82999992370605,8.0,26.0,287.0,669.0,2235.0,1.0,474.0,512.0,92.578125
9524.0,6.42000007629395,0.409999996423721,0.469999998807907,5.46000003814697,6.0,11.0,314.0,692.0,2266.0,1.0,450.0,491.0,91.64969450101833
7937.0,5.32999992370605,0.189999997615814,1.04999995231628,4.07999992370605,3.0,28.0,279.0,586.0,2158.0,1.0,507.0,530.0,95.66037735849056
3672.0,2.46000003814697,0.0,0.0,2.46000003814697,0.0,0.0,153.0,603.0,1792.0,1.0,602.0,638.0,94.35736677115987
10378.0,6.96000003814697,0.140000000596046,0.560000002384186,6.25,2.0,14.0,374.0,490.0,2345.0,1.0,535.0,565.0,94.69026548672566
9487.0,6.36999988555908,0.209999993443489,0.46000000834465,5.69999980926514,3.0,12.0,329.0,555.0,2260.0,1.0,487.0,517.0,94.1972920696325
9129.0,6.13000011444092,0.200000002980232,0.740000009536743,5.17999982833862,3.0,18.0,311.0,574.0,2232.0,1.0,529.0,558.0,94.80286738351255
17.0,0.0099999997764825,0.0,0.0,0.0099999997764825,0.0,0.0,2.0,0.0,257.0,1.0,302.0,321.0,94.0809968847352
8758.0,6.73000001907349,0.0,0.0,6.73000001907349,0.0,0.0,299.0,837.0,3066.0,1.0,499.0,526.0,94.86692015209125
6580.0,5.05999994277954,0.209999993443489,0.400000005960464,4.44999980926514,6.0,9.0,253.0,609.0,3073.0,2.0,426.0,448.0,95.08928571428571
4660.0,3.57999992370605,0.0,0.0,3.57999992370605,0.0,0.0,201.0,721.0,2572.0,2.0,619.0,641.0,96.56786271450858
11009.0,9.10000038146973,3.55999994277954,0.400000005960464,5.1399998664856,27.0,8.0,239.0,1017.0,3274.0,1.0,99.0,104.0,95.1923076923077
10181.0,7.82999992370605,1.37000000476837,0.689999997615814,5.76999998092651,20.0,16.0,249.0,704.0,3015.0,1.0,329.0,338.0,97.33727810650888
10553.0,8.11999988555908,1.10000002384186,1.72000002861023,5.28999996185303,19.0,42.0,228.0,696.0,3083.0,1.0,421.0,451.0,93.34811529933481
10055.0,7.73000001907349,0.370000004768372,0.389999985694885,6.98000001907349,7.0,12.0,272.0,853.0,3069.0,1.0,442.0,458.0,96.50655021834062
12139.0,9.34000015258789,3.29999995231628,1.11000001430511,4.92000007629395,77.0,25.0,220.0,945.0,3544.0,1.0,82.0,85.0,96.47058823529412
13236.0,10.1800003051758,4.5,0.319999992847443,5.34999990463257,58.0,5.0,215.0,749.0,3306.0,1.0,478.0,501.0,95.40918163672654
10243.0,7.88000011444092,1.08000004291534,0.509999990463257,6.30000019073486,14.0,8.0,239.0,584.0,2885.0,3.0,552.0,595.0,92.77310924369748
9461.0,7.28000020980835,0.939999997615814,1.05999994277954,5.26999998092651,14.0,23.0,224.0,673.0,2929.0,1.0,319.0,346.0,92.1965317919075
11193.0,8.60999965667725,0.699999988079071,2.50999999046326,5.3899998664856,11.0,48.0,241.0,684.0,3074.0,1.0,439.0,500.0,87.8
10074.0,7.75,1.28999996185303,0.430000007152557,6.03000020980835,19.0,9.0,234.0,878.0,2969.0,1.0,428.0,458.0,93.44978165938865
12533.0,9.64000034332275,0.699999988079071,2.0,6.94000005722046,14.0,43.0,300.0,537.0,3283.0,2.0,409.0,430.0,95.11627906976744
10255.0,7.8899998664856,1.00999999046326,0.680000007152557,6.19999980926514,12.0,15.0,241.0,579.0,2926.0,1.0,547.0,597.0,91.62479061976549
10096.0,8.39999961853027,3.76999998092651,0.0799999982118607,4.55000019073486,33.0,4.0,204.0,935.0,3147.0,2.0,368.0,376.0,97.87234042553192
12375.0,9.52000045776367,2.78999996185303,0.930000007152557,5.80000019073486,35.0,21.0,251.0,632.0,3162.0,1.0,390.0,414.0,94.20289855072464
9603.0,7.38000011444092,0.629999995231628,1.66999995708466,5.09000015258789,12.0,39.0,199.0,896.0,2899.0,1.0,471.0,495.0,95.15151515151516
9603.0,7.38000011444092,0.629999995231628,1.66999995708466,5.09000015258789,12.0,39.0,199.0,896.0,2899.0,1.0,471.0,495.0,95.15151515151516
22770.0,17.5400009155273,9.44999980926514,2.76999998092651,5.32999992370605,120.0,56.0,260.0,508.0,4022.0,1.0,472.0,496.0,95.16129032258065
17298.0,14.3800001144409,9.89000034332275,1.25999999046326,3.23000001907349,107.0,38.0,178.0,576.0,3934.0,2.0,529.0,541.0,97.78188539741221
10218.0,7.8600001335144,0.340000003576279,0.730000019073486,6.78999996185303,6.0,19.0,258.0,1020.0,3013.0,1.0,62.0,65.0,95.38461538461539
10299.0,7.92000007629395,0.810000002384186,0.649999976158142,6.46000003814697,13.0,14.0,267.0,648.0,3061.0,1.0,354.0,375.0,94.39999999999999
10201.0,7.84000015258789,0.529999971389771,0.790000021457672,6.53000020980835,8.0,18.0,256.0,858.0,2954.0,1.0,469.0,494.0,94.93927125506073
3276.0,2.20000004768372,0.0,0.0,2.20000004768372,0.0,0.0,196.0,787.0,2113.0,2.0,429.0,457.0,93.8730853391685
2961.0,1.99000000953674,0.0,0.0,1.99000000953674,0.0,0.0,194.0,840.0,2095.0,2.0,370.0,406.0,91.13300492610837
3974.0,2.67000007629395,0.0,0.0,2.67000007629395,0.0,0.0,231.0,717.0,2194.0,1.0,441.0,492.0,89.63414634146342
7198.0,4.82999992370605,0.0,0.0,4.82999992370605,0.0,0.0,350.0,711.0,2496.0,2.0,337.0,379.0,88.91820580474933
3945.0,2.65000009536743,0.0,0.0,2.65000009536743,0.0,0.0,225.0,716.0,2180.0,1.0,462.0,499.0,92.58517034068137
2268.0,1.51999998092651,0.0,0.0,1.51999998092651,0.0,0.0,114.0,1219.0,1933.0,1.0,98.0,107.0,91.58878504672897
2064.0,1.38999998569489,0.0,0.0,1.38999998569489,0.0,0.0,121.0,895.0,1954.0,2.0,388.0,424.0,91.50943396226415
2072.0,1.38999998569489,0.0,0.0,1.38999998569489,0.0,0.0,137.0,841.0,1974.0,1.0,439.0,462.0,95.02164502164501
3809.0,2.55999994277954,0.0,0.0,2.53999996185303,0.0,0.0,215.0,756.0,2150.0,1.0,436.0,469.0,92.96375266524521
6831.0,4.57999992370605,0.0,0.0,4.57999992370605,0.0,0.0,317.0,706.0,2432.0,1.0,388.0,417.0,93.04556354916068
3385.0,2.26999998092651,0.0,0.0,2.26999998092651,0.0,0.0,179.0,916.0,2070.0,1.0,328.0,345.0,95.07246376811594
6326.0,4.40999984741211,2.41000008583069,0.0399999991059303,1.96000003814697,29.0,1.0,180.0,839.0,2291.0,2.0,353.0,391.0,90.28132992327366
7243.0,5.03000020980835,2.61999988555908,0.0299999993294477,2.38000011444092,32.0,1.0,194.0,839.0,2361.0,1.0,332.0,374.0,88.77005347593582
4493.0,3.00999999046326,0.0,0.0,3.00999999046326,0.0,0.0,236.0,762.0,2203.0,1.0,419.0,442.0,94.79638009049773
4676.0,3.14000010490417,0.0,0.0,3.13000011444092,0.0,0.0,226.0,1106.0,2196.0,1.0,106.0,108.0,98.14814814814815
6222.0,4.17999982833862,0.0,0.0,4.17999982833862,0.0,0.0,290.0,797.0,2363.0,1.0,322.0,353.0,91.21813031161473
5232.0,3.50999999046326,0.0,0.0,3.50999999046326,0.0,0.0,240.0,741.0,2246.0,2.0,439.0,459.0,95.64270152505446
